name_a,type_a,name_b,type_b,similarity,confidence,reason
交易的安全性,feature,交易安全,feature,0.9669,0.9,節點 A 和節點 B 的名稱語意等價，都是指交易的安全性
外圍層,feature,外部層,feature,0.9498,0.9,外圍層和外部層是同義詞
實體安全技術,feature,實體安全,feature,0.9341,0.8,節點 A 和節點 B 的名稱語意相近，實體安全技術可以被視為實體安全的具體化形式
tls 協定,feature,tls 協議,feature,0.9302,1.0,tls 協定和 tls 協議是同義詞
tls,feature,tls/ssl,feature,0.9268,0.9,tls 和 tls/ssl 都指的是加密通訊協定，tls/ssl 可視為 tls 的擴展或變體
tcp連接埠,feature,連接埠,feature,0.9244,0.8,tcp連接埠和連接埠在本體論類別feature下語意相近
操作安全,feature,安全性,feature,0.9201,0.9,操作安全和安全性是同義詞
ip 位址協定,feature,ip協定,feature,0.9117,0.9,節點 A 和節點 B 的名稱語意等價，均指稱 IP 位址協定的概念
port 445,feature,tcp 445,feature,0.9072,0.9,節點 A 和節點 B 都指稱 TCP 通訊協定的 445 端口
預設帳號,feature,系統預設帳號,feature,0.9064,0.9,節點 A 和節點 B 的名稱語意相近，均指系統或工具的預設帳號特性
ssl安全交易協定,feature,ssl 協定,feature,0.906,0.9,節點A和節點B的名稱語意相近，均指稱SSL安全協定
堆疊,feature,堆積,feature,0.9056,0.9,堆疊和堆積在中文中是同義詞
通訊協定,feature,傳輸協定,feature,0.8956,0.9,通訊協定和傳輸協定在此語境下是同義詞
ip協定,feature,tcp/ip協定組,feature,0.8924,0.8,節點A和節點B都指涉網路通訊協定，TCP/IP是IP協定的標準化實現
生物特徵,feature,生理特徵,feature,0.8899,0.8,生物特徵和生理特徵在此語境下可視為同義詞
連接埠,feature,通訊埠,feature,0.8892,0.9,連接埠和通訊埠是同義詞
實體安全,feature,安全性,feature,0.8874,0.9,實體安全和安全性是同義詞
ssl/tls 交握協定,feature,tls 協定,feature,0.8844,0.9,節點 A 和節點 B 都指涉 TLS 協定的概念，且 SSL/TLS 交握協定包含了 TLS 協定
tcp連接埠,feature,通訊埠,feature,0.8843,0.9,tcp連接埠和通訊埠是同義詞
插槽 (socket),feature,插槽 (slot),feature,0.8838,0.9,插槽和slot是同義詞
http cookie,feature,cookies,feature,0.883,0.9,節點 A 和節點 B 的名稱語意等價，都是指網站使用的 cookie
ssl/tls 交握協定,feature,ssl安全交易協定,feature,0.8818,0.9,節點A和節點B的名稱語意相近，均指涉及SSL/TLS的安全協定
